ref,designation,conditionnement,prix_achat_ht,prix_vente_ht,tva_20_pct,prix_vente_ttc
012621,750 X 200 corindon gr 16/10p,10 UN,61.04,122.08,24.42,146.5
012622,750 X 200 corindon gr 24/10p,10 UN,51.94,103.88,20.78,124.66
012624,750 X 200 corindon gr 36/10p,10 UN,47.39,94.78,18.96,113.74
012625,750 X 200 corindon gr 40/10p,10 UN,45.57,91.14,18.23,109.37
012627,750 X 200 corindon gr 60/10p,10 UN,43.68,87.36,17.47,104.83
012628,750 X 200 corindon gr 80/10p,10 UN,39.0,78.0,15.6,93.6
012629,750 X 200 corindon gr100/10p,10 UN,38.25,76.5,15.3,91.8
012630,750 X 200 corindon gr120/10p,10 UN,38.25,76.5,15.3,91.8
011478,750 X 200 zirconium gr 24/10p,10 UN,74.85,149.7,29.94,179.64
011479,750 X 200 zirconium gr 36/10p,10 UN,66.85,133.7,26.74,160.44
011480,750 X 200 zirconium gr 40/10p,10 UN,59.8,119.6,23.92,143.52
011481,750 X 200 zirconium gr 60/10p,10 UN,57.36,114.72,22.94,137.66
011482,750 X 200 zirconium gr 80/10p,10 UN,54.7,109.4,21.88,131.28
011483,750 X 200 zirconium gr 100/10p,10 UN,54.7,109.4,21.88,131.28
014184,Adhésif de traçage 25mm x 50 m,1 UN,9.04,18.08,3.62,21.7
088622,ALL BASE EXTRA 5L,5 L,54.4,108.8,21.76,130.56
039948,ALLKITT 5L,5 L,45.0,90.0,18.0,108.0
059960,B11 couteau à colle,1 UN,4.88,9.76,1.95,11.71
061482,B3 couteau à colle,1 UN,4.88,9.76,1.95,11.71
012510,BALAI APPLICATEUR + PEAU DE MOUTON,1 UN,35.07,70.14,14.03,84.17
053295,CLEAN 0.75L,1 UN,7.74,15.48,3.1,18.58
182486,CLEAN 5L,5 L,31.7,63.4,12.68,76.08
010366,CLEAN STRONG 0.75L,1 UN,12.22,24.44,4.89,29.33
182484,CLEAN STRONG 5L,5 L,60.2,120.4,24.08,144.48
084260,COLOR COLLECTION coffret 2.0,1 UN,609.9,1219.8,243.96,1463.76
081783,DEGRISEUR 2L,2 L,15.16,30.32,6.06,36.38
086314,ECO OIL CARE 0.75L,1 UN,17.64,35.28,7.06,42.34
086117,ECO OIL CARE 5L,5 L,81.9,163.8,32.76,196.56
013814,ETUI pour rouleau 250mm,1 UN,12.06,24.12,4.82,28.94
053297,FINISH CARE 0.75L,1 UN,13.27,26.54,5.31,31.85
012452,FINISH CARE 5L,5 L,64.75,129.5,25.9,155.4
053300,FINISH CARE mat 0.75L,1 UN,14.98,29.96,5.99,35.95
076843,FINISH CARE MAT 5L,5 L,73.5,147.0,29.4,176.4
012461,FINISH CARE STOP 0.75L,1 UN,13.55,27.1,5.42,32.52
182485,FINISH CARE STOP 5L,5 L,66.35,132.7,26.54,159.24
080735,HARDWAXOIL 3L,3 L,62.49,124.98,25.0,149.98
082958,IS 90 satiné P.U. solvant 1K 5L,5 L,64.9,129.8,25.96,155.76
011666,JOINT A PARQUET chêne clair/12p,20 UN,125.0,250.0,50.0,300.0
041126,JOINT A PARQUET chêne foncé/12p,20 UN,125.0,250.0,50.0,300.0
011669,JOINT A PARQUET frêne/bouleau/épicéa/12p,20 UN,125.0,250.0,50.0,300.0
011665,JOINT A PARQUET hêtre nat/érable can/12p,20 UN,125.0,250.0,50.0,300.0
011667,JOINT A PARQUET hêtre traité/ceris./12p,20 UN,125.0,250.0,50.0,300.0
011668,JOINT A PARQUET wengé/12p,20 UN,125.0,250.0,50.0,300.0
055890,LANGUETTE caoutchouc pour magic oil,1 UN,21.26,42.52,8.5,51.02
068018,MAGIC OIL 2K ERGO monocouche 1L,1 L,66.78,133.56,26.71,160.27
055895,MAGIC OIL 2K ERGO monocouche 2.75L,2.75 L,176.08,352.16,70.43,422.59
021283,MAGIC OIL 2K Original 1L,1 L,61.43,122.86,24.57,147.43
021284,MAGIC OIL 2K Original 2.75L,2.75 L,161.51,323.02,64.6,387.62
175506,MAGIC OIL 2K PURE 1 L,1 L,74.25,148.5,29.7,178.2
055898,MAGIC OIL 2K SPA 1L,1 L,79.63,159.26,31.85,191.11
159671,MAGIC OIL 2K WHITE monocouche 1L,1 L,74.25,148.5,29.7,178.2
055905,MAGIC OIL CARE 0.75L,1 UN,25.55,51.1,10.22,61.32
034053,MAGIC OIL CARE 5L,5 L,124.1,248.2,49.64,297.84
162390,MAGIC OIL CARE WHITE 0.75L,1 UN,26.99,53.98,10.8,64.78
125420,MAGIC OIL CHANGE 1K 1l,1 L,35.75,71.5,14.3,85.8
158420,MAGIC OIL CHANGE 2K 1l,1 L,73.45,146.9,29.38,176.28
